Book title,Authors name,Book review,Discount,Value
Machines Like Me,"English, Paperback, McEwan Ian",(1),17% off,₹574
Dune Messiah  - Dune Messiah,"English, Paperback, Herbert Frank",(19),11% off,₹378
Dune,"English, Paperback, Herbert Frank",(4),10% off,₹225
Shift,"English, Paperback, Howey Hugh",(9),14% off,"₹1,116"
The Romance of Aeronautics,"English, Paperback, Turner Charles Cyril",(10),19% off,₹582
Hijos de Dune / Children of Dune,"Spanish, Paperback, Herbert Frank",(5),15% off,₹425
"UNDEAD: Finding Love in the Zombie Apocalypse, Volume 1","English, Paperback, Tsuyuhisa Fumi",(47),1% off,₹625
Samay Ka Saral Aur Sanshipt Itihas (Hindi Edition of A ...,"Hindi, Paperback, Hawking Stephen W",(10),38% off,₹364
"The Expanse Box Set Books 1-3 (Leviathan Wakes, Caliban...","English, Book, Corey James S. A.",(64),41% off,"₹2,971"
Mickey7,"English, Paperback, Ashton Edward","(1,183)",10% off,₹321
Gandhi and Anarchy,"English, Paperback, Nair C Sankaran Sir",(3),78% off,₹369
The Noah,"English, Paperback, Rahul Sen",(5),2% off,₹409
The Secret Adversary,"English, Paperback, Christie Agatha",(5),15% off,₹237
Youth,"English, Paperback, Asimov Isaac",(56),35% off,₹965
Star Wars: Vader's Castle The Deluxe Library Collection,"English, Hardcover, Scott Cavan",(7),38% off,₹425
Cursed Bunny,"English, Paperback, Chung Bora",(38),8% off,₹478
Isle of the Shadow Souls,"English, Paperback, Elaine Cherian",(4),27% off,₹453
Cosmic Powers,"English, Paperback, unknown",(9),10% off,₹857
The 7 Serpents,"English, Paperback, Cecil Benjamin Jude",(14),32% off,₹599
"Re:ZERO, Vol. 1 (Novel)","English, Paperback, Nagatsuki Tappei",(12),1% off,₹298
Leviathan Falls,"English, Paperback, Corey James S. A.",(9),82% off,"₹3,800"
"Re:ZERO -Starting Life in Another World-, Chapter 2: A ...","English, Paperback, Nagatsuki Tappei",(15),14% off,"₹1,547"
Franny and Zooey,"English, Paperback, Salinger J. D.",(18),7% off,"₹1,409"
Age of Shiva,"English, Electronic book text, unknown",(6),32% off,"₹1,692"
Spider-Man,"English, Electronic book text, David Peter",(7),32% off,₹252
Utopia,"English, Paperback, More Thomas",(14),6% off,"₹2,112"
Children of Time,"English, Paperback, Tchaikovsky Adrian",(9),32% off,"₹1,599"
Godzilla: King of the Monsters,"English, Paperback, Keyes Greg",(3),9% off,"₹1,373"
How to Stop Time,"English, Paperback, Haig Matt",(5),33% off,"₹1,404"
Outlander (Starz Tie-in Edition),"English, Paperback, Gabaldon Diana",(64),9% off,₹225
The One Impossible Labyrinth,"English, Paperback, Reilly Matthew","(1,183)",4% off,₹128
Vicious,"English, Paperback, Schwab V. E.",(19),5% off,₹364
The End of Eternity,"English, Paperback, Asimov Isaac",(5),12% off,₹253
WOOL,"English, Book, HUGH HOWEY",(56),23% off,"₹2,971"
The Lost World,"English, Paperback, Doyle Arthur Conan",(4),6% off,₹370
Deadly Class Volume 1: Reagan Youth Media Tie-In,"English, Paperback, Remender Rick",(5),5% off,₹293
Harry Potter Divination Crystal Ball,"English, Mixed media product, Lemke Donald",(7),8% off,₹628
Godzilla vs. Kong: The Official Movie Novelisation,"English, Paperback, Keyes Greg",(64),9% off,"₹1,164"
Strange Academy: Year Two,"English, Paperback, Young Skottie","(1,183)",4% off,₹293
The Drowned World,"English, Hardcover, Ballard J G",(56),17% off,"₹1,182"
Providence,"English, Paperback, Barry Max",(4),2% off,₹253
Dune Messiah  - Dune Messiah,"English, Paperback, Herbert Frank",(64),33% off,"₹1,350"
Dune,"English, Paperback, Herbert Frank","(1,183)",33% off,₹974
Stranger Things: Flight of Icarus,"English, Paperback, Schneiderhan Caitlin",(56),9% off,₹270
Masters of Space,"English, Paperback, Smith E E",(4),10% off,₹188
Hijos de Dune / Children of Dune,"Spanish, Paperback, Herbert Frank",(5),14% off,₹225
Tides of Fire,"English, Paperback, Rollins James",(64),33% off,"₹1,680"
Samay Ka Saral Aur Sanshipt Itihas (Hindi Edition of A ...,"Hindi, Paperback, Hawking Stephen W","(1,183)",15% off,"₹4,193"
"The Expanse Box Set Books 1-3 (Leviathan Wakes, Caliban...","English, Book, Corey James S. A.",(56),38% off,₹277
Gadget: the Third Force,"English, Paperback, Laidlaw",(4),41% off,₹128
Sultana's Dream and Padmarag,"English, Paperback, Hossain Rokeya",(1),5% off,"₹1,324"
The Noah,"English, Paperback, Rahul Sen",(5),32% off,"₹2,692"
The Ten Percent Thief,"English, Hardcover, Lakshminarayan Lavanya",(1),78% off,"₹1,215"
Tales from Mos Eisley Cantina: Star Wars Legends,"English, Paperback, Anderson Kevin",(64),7% off,"₹1,131"
"Sword Art Online: Phantom Bullet, Vol. 4 (manga)","English, Paperback, Yamada Koutarou","(1,183)",15% off,"₹1,125"
"Re:ZERO -Starting Life in Another World-, Chapter 3: Tr...","English, Paperback, Matsuse Daichi",(1),35% off,₹905
Day of the Oprichnik,"English, Paperback, Sorokin Vladimir",(56),32% off,"₹3,800"
Star Wars: Tales from the Rancor Pit,"English, Hardcover, Scott Cavan",(4),7% off,"₹3,800"
"Re:ZERO -Starting Life in Another World-, Chapter 3: Tr...","English, Paperback, Matsuse Daichi",(64),27% off,₹647
The Book of Doors,"English, Hardcover, Brown Gareth","(1,183)",27% off,"₹1,678"
"Re:ZERO -Starting Life in Another World-, Chapter 3: Tr...","English, Paperback, Quintessenza Anthony",(56),20% off,₹916
"Re:ZERO -Starting Life in Another World-, Chapter 3: Tr...","English, Paperback, Matsuse Daichi",(4),32% off,"₹1,440"
"Re:ZERO -Starting Life in Another World-, Chapter 3: Tr...","English, Paperback, Matsuse Daichi",(6),33% off,"₹1,569"
The Man in the High Castle (Tie-In),"English, Paperback, Dick Philip K",(5),4% off,₹980
"Re:ZERO, Vol. 5 (Novel)","English, Paperback, Nagatsuki Tappei",(3),7% off,₹975
DARLING in the FRANXX Vol. 5-6,"English, Paperback, Code:000",(64),32% off,"₹1,419"
Critical Mass,"English, Hardcover, Suarez Daniel","(1,183)",7% off,"₹1,613"
Ramayan: v. 1,"English, Paperback, Dasgupta Shamik",(56),22% off,₹459
Ready Player One,"English, Paperback, Cline Ernest",(4),21% off,₹916
The Host,"English, Paperback, Meyer Stephenie",(6),21% off,"₹1,119"
Einstein for Everyone,"English, Paperback, Piccioni Robert L.",(5),32% off,₹806
Frankenstein,"English, Paperback, Shelley Marry Wollstonecraft",(3),33% off,"₹2,912"
The Invisible Man for Class 12th,"English, Paperback, Wells H.G.",(64),6% off,"₹1,967"
I Am Number Four,"English, Paperback, Lore Pittacus","(1,183)",6% off,₹892
Frankenstein,"English, Paperback, unknown",(56),31% off,₹905
Flatland,"English, Paperback, Abbott Edwin A.",(4),24% off,₹225
Douglas Adams Picador Boxset Picador Logo on Box Editio...,"English, Mixed media product, Adams Douglas",(8),73% off,₹128
Illuminae  - The Illuminae Files: Book 1 (Illuminae Fil...,"English, Paperback, Kristoff Jay",(8),38% off,₹647
Beast,"English, Paperback, Udayasankar Krishna Beast",(1),23% off,₹253
The Mask Falling,"English, Paperback, Shannon Samantha",(10),17% off,₹370
Infernal Devices,"English, Paperback, Reeve Philip",(64),7% off,₹293
Dune Messiah  - Dune Messiah,"English, Paperback, Herbert Frank","(1,183)",40% off,"₹1,434"
Dune,"English, Paperback, Herbert Frank",(56),35% off,"₹2,393"
Desert Oath,"English, Paperback, Bowden Oliver",(4),28% off,₹293
Transformers How To Draw Transformers,"English, Paperback, Roche Nick",(4),49% off,₹934
Hijos de Dune / Children of Dune,"Spanish, Paperback, Herbert Frank",(6),51% off,₹253
Project,"English, Paperback, Graphic India",(8),43% off,"₹1,350"
Samay Ka Saral Aur Sanshipt Itihas (Hindi Edition of A ...,"Hindi, Paperback, Hawking Stephen W",(15),73% off,"₹1,690"
"The Expanse Box Set Books 1-3 (Leviathan Wakes, Caliban...","English, Book, Corey James S. A.",(64),51% off,"₹1,249"
Assassin's Creed: The Official Film Tie-In,"English, Paperback, Golden Christie","(1,183)",43% off,₹188
All You Need Is Kill,"English, Paperback, Sakurazaka Hiroshi",(56),15% off,"₹1,650"
The Noah,"English, Paperback, Rahul Sen",(4),49% off,₹764
The Island of Dr Moreau,"English, Paperback, Wells H.G.",(64),38% off,"₹1,126"
The Devil and the Dark Water,"English, Paperback, Turton Stuart","(1,183)",41% off,"₹1,106"
The Water Cure,"English, Paperback, Mackintosh Sophie",(56),42% off,"₹1,287"
The Rising Sea,"English, Paperback, Cussler Clive",(4),26% off,"₹1,551"
Frankenstein in Baghdad,"English, Paperback, Saadawi Ahmed",(64),78% off,"₹1,135"
The Three Electroknights,"English, Paperback, Lem Stanislaw","(1,183)",25% off,"₹2,333"
Fugitive Six,"English, Paperback, Lore Pittacus",(56),15% off,"₹1,308"
The Gollancz Book of South Asian Science Fiction,"English, Hardcover, unknown",(4),35% off,"₹1,305"
The Cyberiad,"English, Paperback, Lem Stanislaw",(64),42% off,"₹1,308"
The Unknown Realm  - War and Beyond,"English, Paperback, Wason Prashant","(1,183)",22% off,"₹1,587"
A Princess of Mars,"English, Paperback, Burroughs Edgar Rice",(56),27% off,"₹1,340"
The Paper Menagerie,"English, Paperback, Liu Ken",(4),38% off,"₹1,630"
